City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Cidreira,BR,-30.1811,-50.2056,63.57,63,0,10.47,clear sky
80,Kapoeta,SS,4.7717,33.5903,75.92,69,9,5.91,clear sky
81,Goleniow,PL,53.5639,14.8285,55.96,87,0,3.44,clear sky
82,Provideniya,RU,64.3833,-173.3,35.69,76,41,7.38,scattered clouds
83,Pineville,US,31.3224,-92.4343,84.92,45,0,6.91,clear sky
84,Busselton,AU,-33.65,115.3333,57.29,84,96,18.66,overcast clouds
85,Yerkoy,TR,39.6381,34.4672,64.24,61,100,4.25,light rain
86,Acapulco,MX,16.8634,-99.8901,85.82,70,0,4.61,clear sky
87,San Cristobal,VE,7.7669,-72.225,82.58,38,12,5.1,few clouds
88,Agnibilekrou,CI,7.1344,-3.2047,73.78,95,65,1.19,broken clouds
89,Puerto Escondido,MX,15.85,-97.0667,86.83,54,0,4.61,clear sky
90,Saint Anthony,US,45.0205,-93.218,79.09,41,0,11.5,clear sky
91,Yenagoa,NG,4.9247,6.2642,77.09,89,45,4.81,scattered clouds
92,Sept-Iles,CA,50.2001,-66.3821,54.12,67,75,2.3,broken clouds
93,Ilulissat,GL,69.2167,-51.1,32.02,74,20,6.91,few clouds
94,Santiago Del Estero,AR,-27.7951,-64.2615,92.97,20,0,16.51,clear sky
95,Bredasdorp,ZA,-34.5322,20.0403,50.92,76,0,3.22,clear sky
96,Batagay,RU,67.6333,134.6333,13.98,98,93,1.41,overcast clouds
97,Iquitos,PE,-3.7481,-73.2472,93.24,49,40,5.75,scattered clouds
98,Butaritari,KI,3.0707,172.7902,81.27,74,12,12.5,few clouds
99,Melton Mowbray,GB,52.7659,-0.8869,62.73,79,100,16.93,overcast clouds
100,Naze,JP,28.3667,129.4833,72.52,84,0,5.55,clear sky
101,Iquique,CL,-20.2208,-70.1431,62.64,67,3,5.44,clear sky
102,Darhan,MN,49.4867,105.9228,28.54,56,5,1.66,clear sky
103,Changtu,CN,42.7788,124.0955,33.89,42,0,0.47,clear sky
104,Castro,BR,-24.7911,-50.0119,71.49,54,0,6.17,clear sky
105,Sorland,NO,67.667,12.6934,52.93,76,100,14.36,overcast clouds
